,id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity
0,30,Trương Gia Bình,Thành viên Hội đồng thành viên,TV Hội đồng TV,2025-02-04,0.0699,102041710
1,33,Bùi Quang Ngọc,Thành viên Hội đồng thành viên/Tổng Giám đốc,TV Hội đồng TV/TGĐ,2025-02-14,0.0149,21961492
2,31,Trương Thị Thanh Thanh,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2025-02-04,0.0149,21822466
3,5,Hoàng Minh Châu,Phó Chủ tịch Hội đồng Quản trị/Phó Tổng Giám đốc,Phó Chủ tịch HĐQT/Phó TGĐ,2015-09-14,0.0141169968,5610790
4,17,Phan Ngô Tống Hưng,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2015-09-14,0.0134470773,5344531
5,15,Nguyễn Thành Nam,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2015-09-14,0.009428431,3747323
6,35,Đỗ Cao Bảo,Phó Tổng Giám đốc Kinh doanh/Thành viên Hội đồng thành viên,Phó TGĐ Kinh doanh/TV Hội đồng TV,2025-05-12,0.0093365,13830531
7,9,Lê Quang Tiến,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2015-09-14,0.0062901135,2500001
8,3,Dương Dũng Triều,Chủ tịch Hội đồng Thành viên/Phó Tổng Giám đốc,Chủ tịch Hội Đồng TV/Phó TGĐ,2015-09-14,0.0044,2676629
9,34,Nguyễn Văn Khoa,Phó Tổng Giám đốc,Phó TGĐ,2025-05-12,0.0032,4708357
10,14,Nguyễn Minh Sơn,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0025002184,993710
11,13,Nguyễn Khắc Thành,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,0.0024,1081322
12,19,Trần Quốc Hoài,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0019692828,782690
13,26,Hoàng Nam Tiến,Thành viên Hội đồng Quản trị,TV HĐQT,2024-07-23,0.0016228134,644986
14,12,Nguyễn Điệp Tùng,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0015106481,600406
15,16,Nguyễn Thị Phương,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0010447874,415250
16,10,Lê Thế Hùng,Trưởng Ban kiểm soát,Trưởng BKS,2015-09-14,0.001,328125
17,1,Bùi Nguyễn Phương Châu,Phụ trách Công bố thông tin,Phụ trách CBTT,2015-09-14,0.0002,160047
18,20,Trương Đình Anh,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,5.39137e-05,21428
19,27,Chu Thị Thanh Hà,Phó Tổng Giám đốc,Phó TGĐ,2024-07-23,4.49591e-05,17869
20,22,Dan E Khoo,Thành viên Hội đồng Quản trị,TV HĐQT,2016-01-29,0.0,0
21,23,Hamaguchi Tomokazu,Thành viên Hội đồng Quản trị,TV HĐQT,2016-01-29,0.0,0
22,24,Trần Hồng Dương,Phụ trách Công bố thông tin,Phụ trách CBTT,2017-01-11,0.0,0
23,25,Bùi Nguyễn Phương Châu,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2019-07-18,0.0,0
24,11,Lê Trung Thành,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,0.0,0
25,28,Lê Nữ Thùy Dương,Thành viên Hội đồng Quản trị,TV HĐQT,2024-11-06,0.0,0
26,29,Lê Hồng Việt,Giám đốc Công nghệ,GĐ Công nghệ,2025-02-03,0.0,0
27,8,Lê Nữ Thủy Dương,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
28,7,Jonathon Ralph Alexander Waugh,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
29,32,Jean Charles Belliol,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-04,0.0,0
30,6,Hoàng Việt Hà,Giám đốc/Giám đốc điều hành,GĐ/GĐ Điều hành,2015-09-14,0.0,0
31,4,Hà Nguyên,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
32,18,Thang Đức Thắng,Trưởng Ban kiểm soát,Trưởng BKS,2015-09-14,0.0,0
33,2,Cao Duy Hà,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
34,21,Uwe Schlarge,Giám đốc,GĐ,2015-09-14,0.0,0
