,Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
,ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND)
0,VCB,2025,1,9.2919963915,0.039112800171389114,2.4527262213338523,0.6353570388231943,0.1756325908,0.0,0.0169037963,0.0,10.291996391522485,469588940282800,8355675094,13.8327504624,2.2924683206,6.8490314851,4.3035470074,1040.757198211853,24515.0606857716
1,VCB,2024,4,9.6308667595,0.041246171534655304,2.3482144266343346,0.6187814307589212,0.1873163957,0.0,0.0172367854,0.0,10.630866759498211,501340505640000,8355675094,14.8187989673,2.5563871002,7.3104622423,8.4796431335,1025.097063210438,23470.6238327557
2,VCB,2024,3,9.1544527651,0.042179813438047824,2.2774581210876366,0.6309344277604731,0.1939126694,0.0,0.0185861353,0.0,10.154452765127918,512519668725400,5589091262,14.8037078329,2.6948304678,7.6693737703,-10.421607957,1532.7353944359336,34028.114604796
3,VCB,2024,2,9.4876699606,0.04246778606062642,2.174603284065894,0.5838066379147511,0.1951290992,0.0,0.0183856002,0.0,10.487669960589763,510842941346800,5589091262,15.3298773187,2.8130575347,7.7673339167,123.3460139497,1452.7252498458129,32491.3368716433
4,VCB,2024,1,9.2164128281,0.043710193259274305,2.077798909685561,0.6094588627861688,0.1997346761,0.0,0.0185155376,0.0,10.216412828066767,489604394551200,5589091262,15.0062199577,2.8217066513,7.3639464381,-3.2576457183,1535.1325640958912,31045.0414684962
5,VCB,2023,4,10.1483151118,0.04573412234352278,2.0171119880071298,0.7307915243104878,0.2197388427,0.0,0.0180833998,0.0,10.912466274843375,528728033385200,5589091262,16.0059572827,3.2059924698,7.8071619166,-13.7183976902,1673.8009027700862,29507.2433547964
6,VCB,2023,3,9.8720630751,0.046732162749632294,1.9058127106252463,0.5770761277403086,0.2263474527,0.0,0.018943357,0.0,10.872063075119955,495752394939400,5589091262,14.7517020841,3.1152190054,7.0392109337,6.6872416102,1300.554716188136,28473.1185339518
7,VCB,2023,2,10.2122400368,0.049989563235346514,1.819136410762886,0.5294233527127015,0.2301971451,0.0,0.0184772354,0.0,11.212240036797622,480661848532000,5589091262,14.8341412011,3.1642722225,6.7353154725,10.3042616193,1328.0912141241038,27178.4454536967
8,VCB,2023,1,11.7640830127,0.05345047536071162,1.7312587717044614,0.6327162688642202,0.2315732438,0.0,0.017891605,0.0,12.764083012749253,492181723384000,4732516571,15.9196918568,3.4045795148,7.044594474,1.9818615503,1898.870265994891,30547.0909253368
9,VCB,2022,4,12.3716735724,0.0578700714658406,1.6514337913771446,0.6704006065308621,0.244309439,0.0,0.0185219931,0.0,13.14739251132352,418354464876400,4732516571,13.9922493977,3.0861725944,6.1447874623,2.2808366834,2097.8853113454848,28643.8937859559
10,VCB,2022,3,11.8488987383,0.060912371762343584,1.5365550785021944,0.4438591736753154,0.2202979774,0.0,0.0172399119,0.0,12.84889873825401,406049921791800,4732516571,15.3718009025,3.165159651,6.3159583103,8.2284518965,1281.53169862403,27107.6373585507
11,VCB,2022,2,12.0228873074,0.06588778733229987,1.4719301027910456,0.4639257975529971,0.2165486775,0.0,0.017014105,0.0,13.022887307381527,314712351971500,4732516571,12.6164990464,2.5608871949,5.1738175319,4.2659812444,1254.5025275517414,25967.5631677783
12,VCB,2022,1,11.4938251087,0.07127615126803666,1.4011756881747417,0.6648532396692945,0.2075165548,0.0,0.0165029312,0.0,12.493825108674848,339794689797800,4732516571,14.794485635,2.9045938485,5.882990202,-22.1911777229,1682.4418637624672,24719.4629421616
13,VCB,2021,4,11.9646846218,0.07759280540354827,1.330480825897944,0.6131011973204546,0.2157232139,0.0,0.0159938645,0.0,12.726069482994411,382860590593900,4732516571,17.467213517,3.5115069923,6.7495857074,-6.9890350979,1381.8838036563106,23038.5416224674
14,VCB,2021,3,11.6474501796,0.07466118902057005,1.310807933145324,0.44056366003103614,0.2039355727,0.0,0.0159551824,0.0091324201,12.647450179614403,414568451619600,4732516571,19.6251624626,3.788502147,7.3720657931,6.3786258507,970.7583546884954,23122.5947882687
15,VCB,2021,2,11.4279121046,0.07926366690573136,1.2559071148584322,0.3568865287739344,0.206044184,0.0,0.0160973388,0.0082474227,12.427912104570558,359761112456000,3708877448,17.5312736717,3.4313598852,6.5928095507,36.5072844675,1067.7368167383027,28268.6757570103
