,id,news_title,news_sub_title,friendly_sub_title,news_image_url,news_source_link,created_at,public_date,updated_at,lang_code,news_id,news_short_content,news_full_content,close_price,ref_price,floor,ceiling,price_change_pct
0,7616856,VCB: Nghị quyết HĐQT về việc phê duyệt chủ trương thay đổi địa điểm trụ sở Chi nhánh Hòa Bình,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-nghi-quyet-hdqt-ve-viec-phe-duyet-chu-truong-thay-doi-dia-diem-tru-so-chi-nhanh-hoa-binh/2377625,,1748531270000,,vi,11590875,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo Nghị quyết HĐQT về việc phê duyệt chủ trương thay đổi địa điểm trụ sở Chi nhánh Hòa Bình như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-29/VCB/20250528--VCB--NQ-HDQT-phe-duyet-chu-truong-thay-doi-dia-diem-Chi-nhanh-VCB-Hoa-Binh.pdf"" title=""Tải về"" download>20250528--VCB--NQ-HDQT-phe-duyet-chu-truong-thay-doi-dia-diem-Chi-nhanh-VCB-Hoa-Binh.pdf</a></td></tr></table>",56700,56800,52900,60700,-0.00176056
1,7568647,VCB: Cập nhật danh sách người đại diện phần vốn nhà nước tại VCB,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-cap-nhat-danh-sach-nguoi-dai-dien-phan-von-nha-nuoc-tai-vcb/2376054,,1747849258000,,vi,11587693,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo cập nhật danh sách người đại diện phần vốn nhà nước tại VCB như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/VCB/20250521--VCB--Cap-nhat-danh-sach-nguoi-dai-dien-phan-von-nhan-nuoc-tai-VCB.pdf"" title=""Tải về"" download>20250521--VCB--Cap-nhat-danh-sach-nguoi-dai-dien-phan-von-nhan-nuoc-tai-VCB.pdf</a></td></tr></table>",57100,57100,53200,61000,0.0
2,7517725,VCB: Nghị quyết HĐQT về việc phê duyệt phương án tổng thể chuyển đổi chi nhánh Bắc Hà Tĩnh,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-nghi-quyet-hdqt-ve-viec-phe-duyet-phuong-an-tong-the-chuyen-doi-chi-nhanh-bac-ha-tinh/2374522,,1747307876000,,vi,11573472,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo Nghị quyết HĐQT về việc phê duyệt phương án tổng thể chuyển đổi chi nhánh Bắc Hà Tĩnh như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-15/VCB/20250514--VCB--NQ-HDQT-phe-duyet-phuong-an-tong-the-chuyen-doi-chi-nhanh-VCB-Bac-Ha-Tinh.pdf"" title=""Tải về"" download>20250514--VCB--NQ-HDQT-phe-duyet-phuong-an-tong-the-chuyen-doi-chi-nhanh-VCB-Bac-Ha-Tinh.pdf</a></td></tr></table>",58700,58700,54600,62800,0.0
3,7517720,VCB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phùng Nguyễn Hải Yến,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-bao-cao-ket-qua-giao-dich-co-phieu-cua-nguoi-noi-bo-phung-nguyen-hai-yen/2374514,,1747307608000,,vi,11573467,,"<p>Phùng Nguyễn Hải Yến báo cáo kết quả giao dịch cổ phiếu của người nội bộ Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-15/VCB/20250515--VCB--Bao-cao-ket-qua-giao-dich-co-phieu-cua-nguoi-noi-bo--PTGD-Phung-Nguyen-Hai-Yen--Ban-CBTT.pdf"" title=""Tải về"" download>20250515--VCB--Bao-cao-ket-qua-giao-dich-co-phieu-cua-nguoi-noi-bo--PTGD-Phung-Nguyen-Hai-Yen--Ban-CBTT.pdf</a></td></tr></table>",58700,58700,54600,62800,0.0
4,7517721,VCB: HĐQT phê duyệt giới hạn tín dụng đối với CTCP May Phương Đông,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-hdqt-phe-duyet-gioi-han-tin-dung-doi-voi-ctcp-may-phuong-dong/2374486,,1747307529000,,vi,11573468,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo HĐQT phê duyệt giới hạn tín dụng đối với CTCP May Phương Đông như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-15/VCB/20250515--VCB--HDQT-phe-duyet-Gioi-han-tin-dung-doi-voi-CTCT-May-Phuong-Dong.pdf"" title=""Tải về"" download>20250515--VCB--HDQT-phe-duyet-Gioi-han-tin-dung-doi-voi-CTCT-May-Phuong-Dong.pdf</a></td></tr></table>",58700,58700,54600,62800,0.0
5,7517662,VCB: Quy chế quản trị nội bộ sửa đổi năm 2025,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-quy-che-quan-tri-noi-bo-sua-doi-nam-2025/2374433,,1747244367000,,vi,11572553,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam công bố Quy chế quản trị nội bộ sửa đổi năm 2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-14/VCB/20250514--VCB--Quy-che-quan-tri-noi-bo-cua-VCB-sua-doi-nam-2025.pdf"" title=""Tải về"" download>20250514--VCB--Quy-che-quan-tri-noi-bo-cua-VCB-sua-doi-nam-2025.pdf</a></td></tr></table>",58700,56800,52900,60700,0.0334507
6,7508177,VCB: Điều lệ tổ chức và hoạt động sửa đổi năm 2025,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-dieu-le-to-chuc-va-hoat-dong-sua-doi-nam-2025/2374359,,1747241968000,,vi,11572459,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam công bố Điều lệ tổ chức và hoạt động sửa đổi năm 2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-14/VCB/20250514--VCB--Dieu-le-to-chuc-va-hoat-dong-cua-VCB-sua-doi-nam-2025.pdf"" title=""Tải về"" download>20250514--VCB--Dieu-le-to-chuc-va-hoat-dong-cua-VCB-sua-doi-nam-2025.pdf</a></td></tr></table>",58700,56800,52900,60700,0.0334507
7,7508179,VCB: Quy chế tổ chức và hoạt động của HĐQT sửa đổi năm 2025,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-quy-che-to-chuc-va-hoat-dong-cua-hdqt-sua-doi-nam-2025/2374358,,1747241820000,,vi,11572461,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo Quy chế tổ chức và hoạt động của HĐQT sửa đổi năm 2025 như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-14/VCB/20250514--VCB--Quy-che-to-chuc-va-hoat-dong-cua-HDQT-VCB-sua-doi-nam-2025.pdf"" title=""Tải về"">20250514--VCB--Quy-che-to-chuc-va-hoat-dong-cua-HDQT-VCB-sua-doi-nam-2025.pdf</a></td>
		</tr>
	</tbody>
</table>
",58700,56800,52900,60700,0.0334507
8,7468827,VCB: Nghị quyết HĐQT về việc phê duyệt sửa đổi vốn điều lệ tại Điều lệ VCB 2025,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-nghi-quyet-hdqt-ve-viec-phe-duyet-sua-doi-von-dieu-le-tai-dieu-le-vcb-2025/2373001,,1746726437000,,vi,11566754,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam công bố Nghị quyết HĐQT về việc phê duyệt sửa đổi vốn điều lệ tại Điều lệ VCB 2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-08/VCB/20250507---VCB---Nghi-quyet-HDQT-phe-duyet-sua-doi-von-dieu-le-tai-Dieu-le-VCB-2025.pdf"" title=""Tải về"" download>20250507---VCB---Nghi-quyet-HDQT-phe-duyet-sua-doi-von-dieu-le-tai-Dieu-le-VCB-2025.pdf</a></td></tr></table>",57100,57000,53100,60900,0.00175439
9,7453017,VCB: Thông báo Quyết định của NHNNVN về việc sửa đổi nội dung vốn điều lệ tại Giấy phép hoạt động của VCB,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16184745330570700_VCB.png,https://www.hsx.vn/vi/tin-tuc/vcb-thong-bao-quyet-dinh-cua-nhnnvn-ve-viec-sua-doi-noi-dung-von-dieu-le-tai-giay-phep-hoat-dong-cua-vcb/2372061,,1746616745000,,vi,11564861,,"<p>Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo Quyết định của NHNNVN về việc sửa đổi nội dung vốn điều lệ tại Giấy phép hoạt động của VCB như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-07/VCB/20250506---VCB---Thong-bao-thay-doi-GP-thanh-lap-va-hoat-dong-VCB.pdf"" title=""Tải về"" download>20250506---VCB---Thong-bao-thay-doi-GP-thanh-lap-va-hoat-dong-VCB.pdf</a></td></tr></table>",57000,57000,53100,60900,0.0
