,VNINDEX,VN30F1M,FPT,VNM,VCB
Start Date,2024-06-03,2024-06-03,2024-06-03,2024-06-03,2024-06-03
End Date,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-02
Trading Days,249,249,249,249,249
Avg Price,1267.858232931727,1326.465060240964,132.294578313253,61.48393574297189,60.573614457831326
Min Price,1094.3,1178.0,105.1,50.22,52.5
Max Price,1341.87,1423.7,154.3,70.38,67.3
Price Std Dev,35.181442048426824,39.311150537077594,11.192821788972122,4.084258995734904,2.3754077298468013
Avg Daily Return %,0.023382680811495905,0.04311562955171342,0.011730517734318394,-0.036726967485950994,-0.011619097218671633
Return Std Dev %,1.0962777011250089,1.1165680645757676,1.8038031264912282,1.3703415189041832,1.2637196168099925
