True,Predicted
-0.004405286343612335,-0.0023852681903680437
-0.06991150442477881,0.005070324875747052
0.0019029495718363735,-0.006959107930551812
0.06932573599240263,0.003213563840970635
0.05239786856127892,-0.002605289912983301
0.0,0.05598681235337037
-0.02109704641350211,0.013481430677436932
-0.0698275862068965,0.002093154976108521
0.013901760889712697,-0.0005360249482494342
0.02010968921389386,0.004539344899803556
0.0008960573476703273,-0.003997924921862987
-0.011638316920322266,0.0024085371716451474
0.0,0.006812234807139339
0.014492753623188354,0.002406150715718176
0.003571428571428622,0.004204252761754807
-0.02580071174377229,-0.0030152372897693904
-0.0009132420091323681,0.0047332637683624255
-0.007312614259597909,0.009367535116471551
0.010128913443830649,0.006025172581764609
0.0,0.007561938691591515
0.04193254329990879,0.003620392164072717
0.014873140857392851,0.005172576055713307
0.01982758620689653,-0.0050857106225432065
0.010143702451394784,0.004256656325531461
0.05690376569037654,0.0004955385794417724
-0.010292953285827373,0.0020670624101602635
-0.032,-0.008937473202312295
-0.023140495867768573,-0.001655447914016848
0.008460236886632826,0.0050651457899111175
-0.007550335570469846,0.0003244684732653981
-0.01267962806424345,-0.005058551812779695
0.002568493150684907,0.00014770500190584173
0.0017079419299744051,0.0007581251964200605
0.01449275362318843,0.0035669622556468135
-0.005042016806722642,0.00637718094774099
-0.010979729729729826,-4.543958809502828e-05
